filePath,sampleClass,sampleName
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_4_I_targeted/RCY1714_HIS3/20141005_SZMET00151.d""",his3_HIS,SZMET00151
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_4_I_targeted/RCY1714_HIS3/20141005_SZMET00152.d""",his3_HIS,SZMET00152
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_4_I_targeted/RCY1714_HIS3/20141005_SZMET00153.d""",his3_HIS,SZMET00153
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_4_I_targeted/RCY1714_HIS3/20141005_SZMET00172a.d""",WT_YPD,SZMET00172
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_4_I_targeted/RCY1714_HIS3/20141005_SZMET00173a.d""",WT_YPD,SZMET00173
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_4_I_targeted/RCY1714_HIS3/20141005_SZMET00174a.d""",WT_YPD,SZMET00174
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_4_I_targeted/RCY1714_HIS3/20141005_SZMET00196a.d""",WT_YPD,SZMET00196
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_4_I_targeted/RCY1714_HIS3/20141005_SZMET00197a.d""",WT_YPD,SZMET00197
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_4_I_targeted/RCY1714_HIS3/20141005_SZMET00198a.d""",WT_YPD,SZMET00198
