filePath,sampleClass,sampleName
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET046.d""",LYS12_Deletion,PTMET046
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET047.d""",LYS12_Deletion,PTMET047
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET048.d""",LYS12_Deletion,PTMET048
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET049.d""",LYS20_LYS21,PTMET049
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET050.d""",LYS20_LYS21,PTMET050
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET051.d""",LYS20_LYS21,PTMET051
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET052.d""",LYS20_LYS21,PTMET052
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET053.d""",LYS20_LYS21,PTMET053
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET054.d""",LYS20_LYS21,PTMET054
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET055.d""",Filter_CTRL,PTMET055
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET056.d""",Media_CTRL,PTMET056
